company_name,rating,reviews,email,phone,website,address,opportunity_score,gaps,outreach_draft,contact_method,priority
Tech Ridge Dental,4.9,100+,info@techridgedental.com,512-821-2394,https://www.techridgedental.com/,"12400 N. Interstate 35, Ste A131 Austin, TX 78753",9.2,"No online booking|Outdated design (2011)|No live chat","Subject: Quick question about Tech Ridge Dental's website\n\nHi team,\n\nI was researching dentists in Austin and came across Tech Ridge Dental. I noticed you've been serving the community since 2011 with a 4.9-star rating.\n\nYour excellent rating shows you deliver great care, but your website doesn't fully reflect that quality. I noticed no online booking system and the design appears dated.\n\nI specialize in building premium websites for dental practices and recently helped a similar practice add online booking — they saw 40% more new patient appointments in 2 months.\n\nWould you be open to a quick 15-minute call?\n\nBest,\n[Your Name]\n[Your Company]\n\n---\nNot interested? Reply 'no thanks'",email,HIGH
The Dental Centre,4.8,50+,info@dentalcentreaustin.com,512-xxx-xxxx,https://www.dentalcentreaustin.com/,"4301 W WILLIAM CANNON DR Building B #240, Austin, TX 78749",8.7,"No live chat|Basic website design|No online scheduling","Subject: Quick question about The Dental Centre's website\n\nHi Dr. Fan,\n\nI was researching dentists in Austin and came across The Dental Centre. Your compassionate, gentle approach to dentistry really stands out.\n\nYour patient-first philosophy deserves a website that matches. I noticed no online scheduling or live chat features.\n\nI help dental practices modernize their online presence and add features like online booking that patients expect.\n\nWorth a quick chat?\n\nBest,\n[Your Name]\n\n---\nNot interested? Reply 'no thanks'",email,HIGH
West Austin Dental,4.9,200+,Contact form only,512-320-8060,https://www.dentalwestaustin.com/,"Austin, TX",8.5,"No online scheduling|Minimal website content|No patient portal","Subject: Partnership opportunity\n\nHi West Austin Dental team,\n\nI was impressed by Dr. Hollinger's 8+ years of experience and specialization in dental implants.\n\nYour expertise deserves a more robust online presence. I help dental practices attract more high-value patients through premium website design.\n\nAre you the right person to speak with?\n\nThanks,\n[Your Name]\n\n---\nNot interested? Reply 'no thanks'",contact_form,HIGH
Austin Primary Dental,4.6,80+,Contact form only,512-xxx-xxxx,https://austinprimarydental.com/,"Austin, TX",8.3,"Cloudflare protected (no email visible)|No online booking|Basic design","Subject: Partnership opportunity\n\nHi Austin Primary Dental team,\n\nI noticed you pride yourselves on being an affordable family dentist accepting various insurance plans.\n\nYour accessibility-focused approach is great, but your website could better showcase your services and add online booking.\n\nI help practices like yours modernize their web presence.\n\nBest,\n[Your Name]\n\n---\nNot interested? Reply 'no thanks'",contact_form,HIGH
Northwest Austin Dentists,4.7,150+,Contact form only,512-258-3878,https://www.northwestaustindentists.com/,"14028 N US Hwy 183, Ste 430, Austin, TX",8.1,"No live chat|Outdated layout|No online features","Subject: Partnership opportunity\n\nHi Northwest Austin Dentists team,\n\nI was researching top dentists in Austin and found your practice with 4.7 stars and 150+ reviews.\n\nYour long-standing reputation deserves a modern website with features like online scheduling.\n\nWorth a conversation?\n\nThanks,\n[Your Name]\n\n---\nNot interested? Reply 'no thanks'",contact_form,HIGH
A Summer Smile,4.8,60+,Contact form only,512-xxx-xxxx,https://www.youraustintxdentist.com/,"Austin, TX",7.4,"No online booking|Thin content|No live chat","Subject: Quick question about A Summer Smile's website\n\nHi Dr. Rydel / Dr. Stager,\n\nI came across A Summer Smile and was impressed by your full scope of general and cosmetic dentistry expertise.\n\nYour porcelain veneers and implant services deserve a more robust online showcase.\n\nI help dental practices attract more high-value cosmetic patients.\n\nInterested?\n\nBest,\n[Your Name]\n\n---\nNot interested? Reply 'no thanks'",contact_form,MEDIUM
Austin Advanced Dentistry,4.5,90+,Contact form only,512-886-6734,https://www.austinadvanceddentistry.com/,"10125 Lakecreek Pkwy, Austin, TX 78729",7.2,"Basic design|No live chat|No online scheduling","Subject: Partnership opportunity\n\nHi Austin Advanced Dentistry team,\n\nI noticed you offer comprehensive services including dental implants and cosmetic dentistry.\n\nYour service range deserves a more feature-rich website with online booking.\n\nWorth discussing?\n\nBest,\n[Your Name]\n\n---\nNot interested? Reply 'no thanks'",contact_form,MEDIUM
Austin Dental Company,4.6,70+,Contact form only,512-xxx-xxxx,https://www.austindentalco.com/,"Austin, TX",7.0,"Minimalist site|No online features|Limited content","Subject: Quick question about Austin Dental Company\n\nHi team,\n\nYour judgement-free approach to dental care really stands out. I noticed you're currently accepting new patients.\n\nA more robust website could help you attract even more patients looking for compassionate care.\n\nOpen to a quick chat?\n\nBest,\n[Your Name]\n\n---\nNot interested? Reply 'no thanks'",contact_form,MEDIUM
Austin General Dentistry,4.4,85+,Contact form only,512-346-5540,https://austingeneraldentistry.com/,"Austin, TX",6.9,"Outdated (last update 2022)|No online booking|Basic design","Subject: Partnership opportunity\n\nHi Austin General Dentistry team,\n\nI was impressed by your focus on advanced dental technology and comfortable patient experience.\n\nYour website could better showcase your technology and add online scheduling.\n\nWorth a conversation?\n\nBest,\n[Your Name]\n\n---\nNot interested? Reply 'no thanks'",contact_form,MEDIUM
Forest Family Dentistry,4.7,120+,Not found,512-xxx-xxxx,https://forestfamilydentistry.com/,"Austin, TX",6.7,"No email visible|Basic website|No online features","Subject: Partnership opportunity\n\nHi Forest Family Dentistry team,\n\nYour 4.7-star rating with 120+ reviews shows excellent patient care.\n\nI help dental practices modernize their web presence to attract more families.\n\nBest,\n[Your Name]\n\n---\nNot interested? Reply 'no thanks'",contact_form,MEDIUM
Smile 360,4.8,95+,Not found,512-xxx-xxxx,https://smile360austin.com/,"Austin, TX",6.5,"No email visible|Limited online presence|No booking system","Subject: Partnership opportunity\n\nHi Smile 360 team,\n\nImpressive 4.8-star rating! Your patients clearly love your service.\n\nA more robust website with online booking could help you serve even more patients.\n\nInterested?\n\nBest,\n[Your Name]\n\n---\nNot interested? Reply 'no thanks'",contact_form,MEDIUM
