company_name,website,email,phone,city,niche,opportunity_score,notes
Tooth London,https://www.toothlondon.co.uk,,020 7928 2875,London,Dentist,8,Waterloo dental practice - no online booking visible
Harley Street Dental Clinic,https://www.harleystreetdentalclinic.co.uk,,020 7935 1154,London,Dentist,9,Harley Street premium location - high value target
London Dental Specialists,https://london-dental-specialists.co.uk,,020 7486 0707,London,Dentist,8,Regents Park - accepting new patients
Bow Lane Dental,https://www.bowlanedental.com,reception@bowlanedental.com,020 7236 3600,London,Dentist,9,City of London - email found
Fresh Dental,https://www.freshdental.co.uk,,0207 837 5523,London,Dentist,7,Central London - multiple locations
NHS Dentist Fulham,https://www.nhsdentist.com,info@nhsdentist.com,0207 610 1110,London,Dentist,8,Fulham - email found
The Dental Surgery,https://www.thedentalsurgery.co.uk,,020 7680 1800,London,Dentist,7,Private practice - orthodontics
University Dental Manchester,https://mft.nhs.uk/dental,dental.appointmentbooking@mft.nhs.uk,0161 393 7730,Manchester,Dentist,6,NHS hospital - large practice
The Dental Team Manchester,https://thedentalteammanchester.co.uk,,0161 834 4455,Manchester,Dentist,8,City centre practice
Manchester Dental Practice,https://manchesterdentalpractice.co.uk,,0161 834 6644,Manchester,Dentist,7,Central Manchester
City Centre Dentist,https://www.citycentredentist.co.uk,,0161 839 6789,Manchester,Dentist,8,St Anns Square - premium location
Manchester Dental,https://manchesterdental.co.uk,,0161 748 2674,Manchester,Dentist,7,Urmston location
Altrincham Dental,https://www.altrinchamdentalpractice.co.uk,[email protected],0161 928 2929,Manchester,Dentist,7,Greater Manchester
Bupa Dental Manchester,https://www.bupa.co.uk/dental,,0161 834 5678,Manchester,Dentist,6,St Anns Square - corporate
Emergency Dental Manchester,https://www.emergencydentalmanchester.co.uk,,0161 748 9012,Manchester,Dentist,8,Emergency services
Priory Dental Birmingham,https://priorydentalbirmingham.co.uk,[email protected],0121 449 5678,Birmingham,Dentist,8,Private practice
St Johns Dental,https://www.stjohnsdentalpractice.com,,0121 643 0610,Birmingham,Dentist,8,Cosmetic dentistry focus
Fox and Goose Dental,https://foxandgoosedental.co.uk,[email protected],0121 783 2121,Birmingham,Dentist,7,Stechford - email found
Edgbaston Smile Clinic,https://www.edgbastonsmile.co.uk,[email protected],0121 289 2000,Birmingham,Dentist,9,Calthorpe Road - premium area
Edgbaston Dental Centre,https://www.edgbastondentalcentre.com,,0121 440 2751,Birmingham,Dentist,8,Established practice
Scott Arms Dental,https://www.scottarmsdentalpractice.com,[email protected],0121 357 5000,Birmingham,Dentist,8,Award-winning - email found
Birmingham Dental Hospital,https://www.bhamcommunity.nhs.uk,,0121 466 5338,Birmingham,Dentist,5,NHS hospital - large
Smile Solutions,https://dentistsbirmingham.co.uk,[email protected],0121 308 8977,Birmingham,Dentist,8,Sutton Coldfield - email found
Emergency Plumber London,https://www.emergencyplumber.london,,02034752302,London,Plumber,9,24/7 emergency - high value
24-7 Emergency Plumbing,https://www.24-7emergencyplumbing.co.uk,,07471 875251,London,Plumber,9,Full London coverage
Emergency Plumb Co,https://emergencyplumb.co.uk,[email protected],02036748514,London,Plumber,9,NW3 - email found - high priority
West London Plumbing,https://westlondonplumbingandheating.uk,[email protected],020 8755 0883,London,Plumber,8,Email found
Happy Dog Plumbing,https://happydogplumbing.london,[email protected],0208 8797372,London,Plumber,9,Email found - good branding
