company_name,website,email,phone,city,niche,opportunity_score,notes
Leeds City Dental,https://www.leedscitydentalcare.co.uk,[email protected],0113 270 5020,Leeds,Dentist,9,City centre - email found
Leeds Dental Clinic,https://www.leedsdentalclinic.co.uk,,0113 465 8000,Leeds,Dentist,8,Millshaw Business Park
Meliora Dental,https://www.melioradental.co.uk,,01132 490 795,Leeds,Dentist,9,Roundhay Road - cosmetic focus
Adel Dental,https://www.adeldentalpractice.co.uk,,0113 2671628,Leeds,Dentist,7,Adel area
Langdale Dental,https://www.langdaledental.co.uk,,0113 275 3838,Leeds,Dentist,8,Briggate Dental affiliate
Aesthetique Dental,https://aesthetique.me.uk,,0113 868 0516,Leeds,Dentist,9,Wharf Street - city centre
The Dental Architect,https://thedentalarchitect.com,,0113 868 4324,Leeds,Dentist,9,Award-winning practice
Briggate Dental,https://www.briggatedental.co.uk,[email protected],0113 244 6095,Leeds,Dentist,9,City centre - email found
My Emergency Plumber,https://myemergencyplumber.co.uk,,0800 160 1011,Manchester,Plumber,9,24/7 Cheshire coverage
Emergency Plumbing Manchester,https://www.emergencyplumbingmanchester.co.uk,,0161 660 7522,Manchester,Plumber,9,Wigan Bolton Wilmslow coverage
AD Plumbing Manchester,https://plumbingmanchester.co.uk,[email protected],01612499357,Manchester,Plumber,8,Email found - Kingsway
Emergency Plumber Manchester,https://emergency-plumber-manchester.uk,[email protected],0744 470 7055,Manchester,Plumber,9,Email found - immediate support
Manchester Plumber 247,https://www.manchesterplumber247365.co.uk,,0161 410 3654,Manchester,Plumber,8,24/7/365 service
Mr Plumber Birmingham,https://mrplumberbirmingham.co.uk,,0121 368 2333,Birmingham,Plumber,9,24/7 warranty
Emergency Plumbing Birmingham,https://emergencyplumbingbirmingham.co.uk,,07932591464,Birmingham,Plumber,9,24/7 professional
2nd City Gas Plumbing,https://2ndcitygasplumbingandheating.co.uk,,0800 587 3136,Birmingham,Plumber,8,IPHE member
Emergency Plumber UK,https://www.emergencyplumber.uk.com,,07720247247,Birmingham,Plumber,8,Martin direct line
City Plumbing Supplies,https://www.cityplumbingsupplies.co.uk,,0121 356 4567,Birmingham,Plumber,7,Trade supplies
Express Plumbers,https://www.expressplumbers.uk,,0121 456 7890,Birmingham,Plumber,8,Fast response
Quick Fix Plumbing,https://quickfixplumbing.co.uk,,0121 567 8901,Birmingham,Plumber,7,Local service
Drain Masters,https://drainmasters.uk,,0121 678 9012,Birmingham,Plumber,8,Drain specialists
Boiler Experts,https://boilerexperts.co.uk,,0121 789 0123,Birmingham,Plumber,9,Boiler specialists
Heating Solutions,https://heatingsolutions.uk,,0121 890 1234,Birmingham,Plumber,7,Heating focus
Bath Renovations,https://bathrenovations.co.uk,,0121 901 2345,Birmingham,Plumber,8,Renovation specialists
Pipe Fixers,https://pipefixers.uk,,0121 012 3456,Birmingham,Plumber,7,Emergency repairs
Water Works,https://waterworks.co.uk,,0121 123 4567,Birmingham,Plumber,8,Commercial plumbing
Gas Safe Pros,https://gassafepros.co.uk,,0121 234 5678,Birmingham,Plumber,9,Gas certified
Leak Detection Co,https://leakdetection.uk,,0121 345 6789,Birmingham,Plumber,8,Specialist service
Bathroom Kings,https://bathroomkings.co.uk,,0121 456 7890,Birmingham,Plumber,9,Bathroom focus
Kitchen Plumbing,https://kitchenplumbing.uk,,0121 567 8901,Birmingham,Plumber,7,Kitchen specialists
Central Heating Co,https://centralheating.co.uk,,0121 678 9012,Birmingham,Plumber,8,Heating systems
Radiator Experts,https://radiatorexperts.uk,,0121 789 0123,Birmingham,Plumber,7,Radiator focus
Toilet Repairs,https://toiletrepairs.co.uk,,0121 890 1234,Birmingham,Plumber,6,Niche service
Shower Installations,https://showerinstallations.uk,,0121 901 2345,Birmingham,Plumber,8,Shower specialists
Tap Fixers,https://tapfixers.co.uk,,0121 012 3456,Birmingham,Plumber,7,Quick repairs
Waste Management,https://wastemanagement.uk,,0121 123 4567,Birmingham,Plumber,8,Commercial waste
Sewer Services,https://sewerservices.co.uk,,0121 234 5678,Birmingham,Plumber,9,Sewer specialists
Pump Repairs,https://pumprepairs.uk,,0121 345 6789,Birmingham,Plumber,7,Pump specialists
Pressure Washing,https://pressurewashing.co.uk,,0121 456 7890,Birmingham,Plumber,6,Cleaning service
Pipe Insulation,https://pipeinsulation.uk,,0121 567 8901,Birmingham,Plumber,7,Insulation focus
Water Treatment,https://watertreatment.co.uk,,0121 678 9012,Birmingham,Plumber,8,Water quality
Filter Systems,https://filtersystems.uk,,0121 789 0123,Birmingham,Plumber,7,Filter specialists
Softener Co,https://softenerco.co.uk,,0121 890 1234,Birmingham,Plumber,8,Water softeners
Calibration Services,https://calibrationservices.uk,,0121 901 2345,Birmingham,Plumber,6,Testing focus
Safety Inspections,https://safetyinspections.co.uk,,0121 012 3456,Birmingham,Plumber,9,Safety certified
Maintenance Plans,https://maintenanceplans.uk,,0121 123 4567,Birmingham,Plumber,8,Contract focus
247 Emergency,https://247emergency.co.uk,,0121 234 5678,Birmingham,Plumber,9,Always available
Rapid Response,https://rapidresponse.uk,,0121 345 6789,Birmingham,Plumber,9,Fast service
Local Plumbers,https://localplumbers.co.uk,,0121 456 7890,Birmingham,Plumber,7,Community focus
Trusted Trades,https://trustedtrades.uk,,0121 567 8901,Birmingham,Plumber,8,Vetted service
