Company,Website,Location,Contact Name,Title,Email,Phone,Personalization Angle,Website Observation,Outreach Variant,Status,Notes
Daniel Cobb,danielcobb.co.uk,Kennington (SE11),George Cobb,Managing Director,,020 7735 3322,"Family-run 30+ years","Has instant valuation tool",V1 - Valuation Focus,Sent,Strong local presence
Daniel Cobb,danielcobb.co.uk,Kennington (SE11),Toby Cobb,Operations Director,,020 7735 3322,"30 years expertise","Heavy portal dependency",V1 - Valuation Focus,Sent,Multiple decision-makers
Living in London,living-london.net,Canada Water (SE16),,,,welcome@living-london.net,020 7231 0002,"Built around referrals","No proactive outreach",V2 - Website Observation,Sent,Referral-dependent
LV Property,lvproperty.co.uk,Birmingham City,,,"Hello@lvproperty.co.uk",,"City centre focus","Standard agency website",V3 - Landlord Angle,Sent,Landlord lead follow-up
Maguire Jackson,maguirejackson.com,Birmingham,,,"bham@maguirejackson.com",,"City estate agents","Modern branding",V1 - Valuation Focus,Sent,Valuation no-show angle
Independent London,independentlondon.co.uk,London,,,"hello@independentlondon.net",,"Tech + traditional","Open to innovation",V2 - Website Observation,Sent,Lead response time angle
Portico Highbury,portico.com,London,,,"highbury.sales@portico.com",,"Tech-enabled","Perfect ICP",V2 - Website Observation,Sent,Tech-enabled agency angle
Anchored Properties,anchoredproperties.co.uk,London,,,"info@anchoredproperties.co.uk",,"Boutique local","Good ICP fit",V1 - Valuation Focus,Pending,Need to research
Dexters Clapham,dexters.co.uk,Clapham,,,"clapham@dexters.co.uk",,"40+ London offices","Branch-specific",V1 - Valuation Focus,Pending,Branch email needed
Dexters Balham,dexters.co.uk,Balham,,,"balham@dexters.co.uk",,"Local presence","Good coverage",V1 - Valuation Focus,Pending,Branch email
Dexters Battersea,dexters.co.uk,Battersea,,,"battersea@dexters.co.uk",,"Prime location","Strong brand",V1 - Valuation Focus,Pending,Branch email
Kinleigh Folkard Hayward,kfh.co.uk,Camberwell,,,"camberwell@kfh.co.uk",,"Large London network","Branch-level autonomy",V2 - Website Observation,Pending,Check independence
Kinleigh Folkard Hayward,kfh.co.uk,Dulwich,,,"dulwich@kfh.co.uk",,"Established 1896","Local expertise",V2 - Website Observation,Pending,Branch email
Kinleigh Folkard Hayward,kfh.co.uk,Herne Hill,,,"hernehill@kfh.co.uk",,"Family feel","Community focused",V2 - Website Observation,Pending,Branch email
Winkworth Clapham,winkworth.co.uk,Clapham,,,"clapham@winkworth.co.uk",,"Franchise model","Local ownership",V4 - Scale Angle,Pending,Franchise independence
Winkworth Battersea,winkworth.co.uk,Battersea,,,"battersea@winkworth.co.uk",,"Premium branding","Strong marketing",V4 - Scale Angle,Pending,Franchise email
Winkworth Fulham,winkworth.co.uk,Fulham,,,"fulham@winkworth.co.uk",,"Riverside location","Affluent area",V4 - Scale Angle,Pending,Franchise email
Benham & Reeves,benhamandreeves.com,Islington,,,"islington@benhamandreeves.com",,"Lettings + sales","North London focus",V3 - Landlord Angle,Pending,Lettings focus
Benham & Reeves,benhamandreeves.com,King's Cross,,,"kingscross@benhamandreeves.com",,"New development specialist","Growth area",V3 - Landlord Angle,Pending,New builds
Benham & Reeves,benhamandreeves.com,Notting Hill,,,"nottinghill@benhamandreeves.com",,"Prime Central London","High value",V3 - Landlord Angle,Pending,Prime market
Marsh & Parsons,marshandparsons.co.uk,Notting Hill,,,"nottinghill@marshandparsons.co.uk",,"West London specialist","Established 1856",V1 - Valuation Focus,Pending,Heritage brand
Marsh & Parsons,marshandparsons.co.uk,Chelsea,,,"chelsea@marshandparsons.co.uk",,"Prime residential","Affluent clients",V1 - Valuation Focus,Pending,Prime focus
Marsh & Parsons,marshandparsons.co.uk,Fulham,,,"fulham@marshandparsons.co.uk",,"Family homes","School catchments",V1 - Valuation Focus,Pending,Family market
Chestertons Belgravia,chestertons.co.uk,Belgravia,,,"belgravia@chestertons.co.uk",,"Central London","Ultra prime",V2 - Website Observation,Pending,Luxury segment
Chestertons Kensington,chestertons.co.uk,Kensington,,,"kensington@chestertons.co.uk",,"International clients","High net worth",V2 - Website Observation,Pending,International
Chestertons Notting Hill,chestertons.co.uk,Notting Hill,,,"nottinghill@chestertons.co.uk",,"Period properties","Character homes",V2 - Website Observation,Pending,Period focus
Foxtons Clapham,foxtons.co.uk,Clapham,,,"clapham@foxtons.co.uk",,"High street presence","Aggressive marketing",V1 - Valuation Focus,Research,Check size
Foxtons Fulham,foxtons.co.uk,Fulham,,,"fulham@foxtons.co.uk",,"Lettings focus","Landlord base",V3 - Landlord Angle,Research,Large but local
Foxtons Islington,foxtons.co.uk,Islington,,,"islington@foxtons.co.uk",,"Young professionals","Rental demand",V3 - Landlord Angle,Research,Rental market
Hamptons Kensington,hamptons.co.uk,Kensington,,,"kensington@hamptons.co.uk",,"Premium service","Established brand",V4 - Scale Angle,Research,Check independence
Hamptons Chelsea,hamptons.co.uk,Chelsea,,,"chelsea@hamptons.co.uk",,"Country + London","Dual market",V4 - Scale Angle,Research,Country connections
Savills Belgravia,savills.co.uk,Belgravia,,,"belgravia@savills.co.uk",,"International reach","Ultra prime",V4 - Scale Angle,Research,Enterprise check
Knight Frank Mayfair,knightfrank.co.uk,Mayfair,,,"mayfair@knightfrank.co.uk",,"Global network","HNW clients",V4 - Scale Angle,Research,Enterprise check
Douglas & Gordon,douglasandgordon.com,Belgravia,,,"belgravia@douglasandgordon.com",,"Independent","Tech-forward",V2 - Website Observation,Pending,Independent feel
Douglas & Gordon,douglasandgordon.com,Chelsea,,,"chelsea@douglasandgordon.com",,"Family run","Personal service",V2 - Website Observation,Pending,Family business
Douglas & Gordon,douglasandgordon.com,Notting Hill,,,"nottinghill@douglasandgordon.com",,"Design-led","Premium branding",V2 - Website Observation,Pending,Design focus
Aston Chase,astonchase.co.uk,Islington,,,"info@astonchase.co.uk",,"North + Central London","Independent",V1 - Valuation Focus,Pending,Independent
Aston Chase,astonchase.co.uk,King's Cross,,,"kingscross@astonchase.co.uk",,"New developments","Regeneration areas",V1 - Valuation Focus,Pending,Development focus
Barnard Marcus,barnardmarcus.co.uk,Clapham,,,"clapham@barnardmarcus.co.uk",,"South London focus","Lettings specialist",V3 - Landlord Angle,Pending,Landlord focus
Barnard Marcus,barnardmarcus.co.uk,Balham,,,"balham@barnardmarcus.co.uk",,"Family homes","Community feel",V3 - Landlord Angle,Pending,Community
Barnard Marcus,barnardmarcus.co.uk,Tooting,,,"tooting@barnardmarcus.co.uk",,"Up-and-coming","Growth potential",V3 - Landlord Angle,Pending,Growth area
Haart Clapham,haart.co.uk,Clapham,,,"clapham@haart.co.uk",,"National brand","Local branch",V4 - Scale Angle,Research,Branch autonomy
Haart Balham,haart.co.uk,Balham,,,"balham@haart.co.uk",,"Full service","Mortgages included",V4 - Scale Angle,Research,Full service
Leaders Clapham,leaders.co.uk,Clapham,,,"clapham@leaders.co.uk",,"Lettings expert","Landlord services",V3 - Landlord Angle,Research,Lettings focus
Connells Clapham,connells.co.uk,Clapham,,,"clapham@connells.co.uk",,"Largest network","National reach",V4 - Scale Angle,Research,Check size
Your Move Clapham,your-move.co.uk,Clapham,,,"clapham@your-move.co.uk",,"Franchise model","Local owner",V4 - Scale Angle,Research,Franchise
Acorn Property,acornproperty.com,Bristol,,,"bristol@acornproperty.com",,"South West focus","Independent",V1 - Valuation Focus,Pending,Regional player
Acorn Property,acornproperty.com,Bath,,,"bath@acornproperty.com",,"Period specialists","Heritage homes",V1 - Valuation Focus,Pending,Period focus
Savills Bath,savills.co.uk,Bath,,,"bath@savills.co.uk",,"Country + town","Rural estates",V4 - Scale Angle,Research,Country focus
Knight Frank Bath,knightfrank.co.uk,Bath,,,"bath@knightfrank.co.uk",,"Premium market","Historic city",V4 - Scale Angle,Research,Heritage market
Strutt & Parker,struttandparker.com,Cambridge,,,"cambridge@struttandparker.com",,"Rural + university","Dual market",V4 - Scale Angle,Research,University town
Cheffins,cheffins.co.uk,Cambridge,,,"cambridge@cheffins.co.uk",,"East Anglia specialist","Agricultural roots",V1 - Valuation Focus,Pending,Regional expert
Bidwells,bidwells.co.uk,Cambridge,,,"cambridge@bidwells.co.uk",,"Property + rural","Diversified",V4 - Scale Angle,Research,Diversified
Savills Cambridge,savills.co.uk,Cambridge,,,"cambridge@savills.co.uk",,"Tech hub","Growth market",V4 - Scale Angle,Research,Tech growth
Knight Frank Edinburgh,knightfrank.co.uk,Edinburgh,,,"edinburgh@knightfrank.co.uk",,"Scottish capital","Period properties",V4 - Scale Angle,Research,Scottish market
Savills Edinburgh,savills.co.uk,Edinburgh,,,"edinburgh@savills.co.uk",,"New + Old Town","UNESCO city",V4 - Scale Angle,Research,Heritage city
Rettie & Co,rettie.co.uk,Edinburgh,,,"edinburgh@rettie.co.uk",,"Scottish independent","Local expertise",V1 - Valuation Focus,Pending,Scottish independent
DJ Alexander,djalexander.co.uk,Edinburgh,,,"edinburgh@djalexander.co.uk",,"Lettings specialist","Property management",V3 - Landlord Angle,Pending,Lettings focus
Slater Hogg & Howison,slaterhoggandhowison.co.uk,Glasgow,,,"glasgow@slaterhoggandhowison.co.uk",,"Scotland's largest","High street",V4 - Scale Angle,Research,Scottish chain
Pacitti Jones,pacittijones.com,Glasgow,,,"glasgow@pacittijones.com",,"West End focus","Affluent area",V1 - Valuation Focus,Pending,West End
Cairn Estate Agency,cairnestateagency.co.uk,Glasgow,,,"glasgow@cairnestateagency.co.uk",,"Southside specialist","Local knowledge",V1 - Valuation Focus,Pending,Local specialist
Move Residential,moveresidential.co.uk,Liverpool,,,"liverpool@moveresidential.co.uk",,"City centre","Waterfront regeneration",V1 - Valuation Focus,Pending,Regeneration
Entwistle Green,entwistlegreen.co.uk,Liverpool,,,"liverpool@entwistlegreen.co.uk",,"Merseyside focus","Established",V1 - Valuation Focus,Pending,Regional
Whitegates,whitegates.co.uk,Manchester,,,"manchester@whitegates.co.uk",,"North West","Lettings + sales",V3 - Landlord Angle,Research,North West
